epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,102.107,0.84654,0.88868,1.11933,0.72962,0.59375,0.59447,0.37108,1.50159,1.97748,1.70528,0.0011882,0.0011882,0.0011882
43,104.532,0.7655,0.89221,1.06939,0.81501,0.53125,0.54547,0.33991,1.50842,2.01204,1.71617,0.0011684,0.0011684,0.0011684
44,107.028,0.73302,0.81717,1.03418,0.76079,0.49708,0.55547,0.36121,1.51006,1.91346,1.73889,0.0011486,0.0011486,0.0011486
45,109.326,0.79865,0.84254,1.08385,0.76079,0.49708,0.55547,0.36121,1.51006,1.91346,1.73889,0.0011288,0.0011288,0.0011288
46,111.708,0.75641,0.82791,1.04595,0.60126,0.56554,0.52747,0.33487,1.59533,1.94739,1.82807,0.001109,0.001109,0.001109
47,114.017,0.75944,0.82607,1.03627,0.59011,0.59375,0.56219,0.34359,1.58087,1.88081,1.76251,0.0010892,0.0010892,0.0010892
48,116.405,0.6737,0.78592,1.00925,0.84688,0.46875,0.55208,0.34621,1.49261,1.8939,1.74537,0.0010694,0.0010694,0.0010694
49,118.599,0.65433,0.76208,1.01066,0.84688,0.46875,0.55208,0.34621,1.49261,1.8939,1.74537,0.0010496,0.0010496,0.0010496
50,120.861,0.76046,0.79954,1.03222,0.63815,0.59375,0.5781,0.38084,1.38659,1.79829,1.60647,0.0010298,0.0010298,0.0010298
51,123.226,0.73699,0.81132,1.04108,0.78395,0.68054,0.62807,0.39808,1.43787,1.79237,1.62304,0.00101,0.00101,0.00101
52,125.43,0.72046,0.72834,1.02398,0.64823,0.57614,0.55274,0.35857,1.44482,2.19238,1.61711,0.0009902,0.0009902,0.0009902
53,127.625,0.70089,0.73406,0.97584,0.64823,0.57614,0.55274,0.35857,1.44482,2.19238,1.61711,0.0009704,0.0009704,0.0009704
54,129.869,0.72983,0.73069,1.02595,0.69313,0.46875,0.53898,0.31481,1.60474,2.16882,1.73929,0.0009506,0.0009506,0.0009506
55,132.145,0.71538,0.7697,1.02214,0.69325,0.5,0.52803,0.30972,1.52887,2.09365,1.68881,0.0009308,0.0009308,0.0009308
56,134.807,0.73977,0.74978,0.9972,0.73568,0.53125,0.62035,0.26806,1.59007,2.0793,1.72971,0.000911,0.000911,0.000911
57,137.383,0.71326,0.77178,1.08237,0.73568,0.53125,0.62035,0.26806,1.59007,2.0793,1.72971,0.0008912,0.0008912,0.0008912
58,139.726,0.64775,0.69388,1.00891,0.534,0.71875,0.62622,0.29431,1.55732,2.06812,1.74139,0.0008714,0.0008714,0.0008714
59,142.421,0.70555,0.69479,1.0167,0.59192,0.65625,0.6101,0.3069,1.54103,2.10468,1.7236,0.0008516,0.0008516,0.0008516
60,144.835,0.59315,0.68567,0.94199,0.5681,0.75,0.64796,0.3725,1.44982,1.92353,1.606,0.0008318,0.0008318,0.0008318
61,147.116,0.72511,0.70622,1.00374,0.5681,0.75,0.64796,0.3725,1.44982,1.92353,1.606,0.000812,0.000812,0.000812
62,149.41,0.65445,0.67868,0.99018,0.65953,0.6875,0.6553,0.43876,1.28327,1.72114,1.46178,0.0007922,0.0007922,0.0007922
63,151.746,0.69911,0.68244,1.01634,0.66878,0.71875,0.67185,0.45462,1.27025,1.85313,1.43702,0.0007724,0.0007724,0.0007724
64,154.027,0.71903,0.74867,1.01396,0.70827,0.6875,0.66933,0.45516,1.31727,1.88297,1.46245,0.0007526,0.0007526,0.0007526
65,156.576,0.65032,0.7448,1.029,0.70827,0.6875,0.66933,0.45516,1.31727,1.88297,1.46245,0.0007328,0.0007328,0.0007328
66,158.906,0.66781,0.7183,0.96167,0.84795,0.59375,0.65668,0.45904,1.29857,1.76495,1.43831,0.000713,0.000713,0.000713
67,161.221,0.62765,0.68507,0.93825,0.75676,0.68076,0.65764,0.44277,1.36033,1.68347,1.47826,0.0006932,0.0006932,0.0006932
68,163.618,0.71059,0.79812,1.03647,0.91214,0.64914,0.71073,0.45455,1.37272,1.51033,1.51002,0.0006734,0.0006734,0.0006734
69,165.814,0.71087,0.69853,1.07085,0.91214,0.64914,0.71073,0.45455,1.37272,1.51033,1.51002,0.0006536,0.0006536,0.0006536
70,168.14,0.6133,0.6437,0.95497,0.84161,0.65625,0.72571,0.47242,1.30563,1.47715,1.48546,0.0006338,0.0006338,0.0006338
71,170.504,0.64438,0.66713,0.97212,0.81349,0.68171,0.7163,0.49958,1.17893,1.39394,1.41635,0.000614,0.000614,0.000614
72,172.86,0.60457,0.60821,0.95719,0.83986,0.65625,0.74279,0.53533,1.17116,1.22431,1.40925,0.0005942,0.0005942,0.0005942
73,175.15,0.64683,0.68388,0.95506,0.83986,0.65625,0.74279,0.53533,1.17116,1.22431,1.40925,0.0005744,0.0005744,0.0005744
74,177.496,0.61188,0.66704,0.96095,0.76956,0.65625,0.73899,0.52508,1.20232,1.2204,1.42231,0.0005546,0.0005546,0.0005546
75,179.839,0.58809,0.63287,0.97175,0.77699,0.65338,0.73083,0.53841,1.19707,1.20965,1.40899,0.0005348,0.0005348,0.0005348
